Timestamp,Site - PV Power,Site - Load Power,Site - Grid Power,Site - Battery Power
Wed Nov 25 2020 03:45:00 GMT+1100 (AEDT),0,924.6666666666666,924.6666666666666,0
Wed Nov 25 2020 03:46:00 GMT+1100 (AEDT),0,919.8333333333334,919.8333333333334,0
Wed Nov 25 2020 03:47:00 GMT+1100 (AEDT),0,925.3333333333334,925.3333333333334,0
Wed Nov 25 2020 03:48:00 GMT+1100 (AEDT),0,914.8333333333334,914.8333333333334,0
Wed Nov 25 2020 03:49:00 GMT+1100 (AEDT),0,906.3333333333334,906.3333333333334,0
Wed Nov 25 2020 03:50:00 GMT+1100 (AEDT),0,917.8333333333334,917.8333333333334,0
Wed Nov 25 2020 03:51:00 GMT+1100 (AEDT),0,921.3333333333334,921.3333333333334,0
Wed Nov 25 2020 03:52:00 GMT+1100 (AEDT),0,925.1666666666666,925.1666666666666,0
Wed Nov 25 2020 03:53:00 GMT+1100 (AEDT),0,918.5,918.5,0
Wed Nov 25 2020 03:54:00 GMT+1100 (AEDT),0,917.6666666666666,917.6666666666666,0
Wed Nov 25 2020 03:55:00 GMT+1100 (AEDT),0,918.2,918.2,0
Wed Nov 25 2020 03:56:00 GMT+1100 (AEDT),0,915.6666666666666,915.6666666666666,0
Wed Nov 25 2020 03:57:00 GMT+1100 (AEDT),0,919.5,919.5,0
Wed Nov 25 2020 03:58:00 GMT+1100 (AEDT),0,919.1666666666666,919.1666666666666,0
Wed Nov 25 2020 03:59:00 GMT+1100 (AEDT),0,919.6666666666666,919.6666666666666,0
Wed Nov 25 2020 04:00:00 GMT+1100 (AEDT),0,915,915,0
Wed Nov 25 2020 04:01:00 GMT+1100 (AEDT),0,925,925,0
Wed Nov 25 2020 04:02:00 GMT+1100 (AEDT),0,917.6666666666666,917.6666666666666,0
Wed Nov 25 2020 04:03:00 GMT+1100 (AEDT),0,918.5,918.5,0
Wed Nov 25 2020 04:04:00 GMT+1100 (AEDT),0,925.5,925.5,0
Wed Nov 25 2020 04:05:00 GMT+1100 (AEDT),0,923.5,923.5,0
Wed Nov 25 2020 04:06:00 GMT+1100 (AEDT),0,925.5,925.5,0
Wed Nov 25 2020 04:07:00 GMT+1100 (AEDT),0,918,918,0
Wed Nov 25 2020 04:08:00 GMT+1100 (AEDT),0,931.5,931.5,0
Wed Nov 25 2020 04:09:00 GMT+1100 (AEDT),0,954,954,0
Wed Nov 25 2020 04:10:00 GMT+1100 (AEDT),0,959.5,959.5,0
Wed Nov 25 2020 04:11:00 GMT+1100 (AEDT),0,954.5,954.5,0
Wed Nov 25 2020 04:12:00 GMT+1100 (AEDT),0,959,959,0
Wed Nov 25 2020 04:13:00 GMT+1100 (AEDT),0,959.5,959.5,0
Wed Nov 25 2020 04:14:00 GMT+1100 (AEDT),0,930,930,0
Wed Nov 25 2020 04:15:00 GMT+1100 (AEDT),0,931,931,0
Wed Nov 25 2020 04:16:00 GMT+1100 (AEDT),0,926,926,0
Wed Nov 25 2020 04:17:00 GMT+1100 (AEDT),0,928,928,0
Wed Nov 25 2020 04:18:00 GMT+1100 (AEDT),0,931,931,0
Wed Nov 25 2020 04:19:00 GMT+1100 (AEDT),0,924,924,0
Wed Nov 25 2020 04:20:00 GMT+1100 (AEDT),0,924,924,0
Wed Nov 25 2020 04:21:00 GMT+1100 (AEDT),0,925,925,0
Wed Nov 25 2020 04:22:00 GMT+1100 (AEDT),0,919,919,0
Wed Nov 25 2020 04:23:00 GMT+1100 (AEDT),0,921.5,921.5,0
Wed Nov 25 2020 04:24:00 GMT+1100 (AEDT),0,922,922,0
Wed Nov 25 2020 04:25:00 GMT+1100 (AEDT),0,922,922,0
Wed Nov 25 2020 04:26:00 GMT+1100 (AEDT),0,914,914,0
Wed Nov 25 2020 04:27:00 GMT+1100 (AEDT),0,1017,1017,0
Wed Nov 25 2020 04:28:00 GMT+1100 (AEDT),0,1015,1015,0
Wed Nov 25 2020 04:29:00 GMT+1100 (AEDT),0,1006.5,1006.5,0
Wed Nov 25 2020 04:30:00 GMT+1100 (AEDT),0,1015.5,1015.5,0
Wed Nov 25 2020 04:31:00 GMT+1100 (AEDT),0,1021,1021,0
Wed Nov 25 2020 04:32:00 GMT+1100 (AEDT),0,1015,1015,0
Wed Nov 25 2020 04:33:00 GMT+1100 (AEDT),0,1015.3333333333334,1015.3333333333334,0
Wed Nov 25 2020 04:34:00 GMT+1100 (AEDT),0,1017.1666666666666,1017.1666666666666,0
Wed Nov 25 2020 04:35:00 GMT+1100 (AEDT),0,1013.8333333333334,1013.8333333333334,0
Wed Nov 25 2020 04:36:00 GMT+1100 (AEDT),0,1013.6666666666666,1013.6666666666666,0
Wed Nov 25 2020 04:37:00 GMT+1100 (AEDT),0,1019.5,1019.5,0
Wed Nov 25 2020 04:38:00 GMT+1100 (AEDT),0,1018.5,1018.5,0
Wed Nov 25 2020 04:39:00 GMT+1100 (AEDT),0,1042.8333333333333,1042.8333333333333,0
Wed Nov 25 2020 04:40:00 GMT+1100 (AEDT),0,1013.1666666666666,1013.1666666666666,0
Wed Nov 25 2020 04:41:00 GMT+1100 (AEDT),0,1013.3333333333334,1013.3333333333334,0
Wed Nov 25 2020 04:42:00 GMT+1100 (AEDT),0,1013.8333333333334,1013.8333333333334,0
Wed Nov 25 2020 04:43:00 GMT+1100 (AEDT),0,1022,1022,0
Wed Nov 25 2020 04:44:00 GMT+1100 (AEDT),0,1021.1666666666666,1021.1666666666666,0
Wed Nov 25 2020 04:45:00 GMT+1100 (AEDT),0,1029.8333333333333,1029.8333333333333,0
Wed Nov 25 2020 04:46:00 GMT+1100 (AEDT),0,1024,1024,0
Wed Nov 25 2020 04:47:00 GMT+1100 (AEDT),0,1030.5,1030.5,0
Wed Nov 25 2020 04:48:00 GMT+1100 (AEDT),0,1059.5,1059.5,0
Wed Nov 25 2020 04:49:00 GMT+1100 (AEDT),0,1062.3333333333333,1062.3333333333333,0
Wed Nov 25 2020 04:50:00 GMT+1100 (AEDT),0,1063.3333333333333,1063.3333333333333,0
Wed Nov 25 2020 04:51:00 GMT+1100 (AEDT),0,1058.8333333333333,1058.8333333333333,0
Wed Nov 25 2020 04:52:00 GMT+1100 (AEDT),0,1063.8333333333333,1063.8333333333333,0
Wed Nov 25 2020 04:53:00 GMT+1100 (AEDT),0,1065,1065,0
Wed Nov 25 2020 04:54:00 GMT+1100 (AEDT),0,1068.6666666666667,1068.6666666666667,0
Wed Nov 25 2020 04:55:00 GMT+1100 (AEDT),0,1070.3333333333333,1070.3333333333333,0
Wed Nov 25 2020 04:56:00 GMT+1100 (AEDT),0,1065.3333333333333,1065.3333333333333,0
Wed Nov 25 2020 04:57:00 GMT+1100 (AEDT),0,1063,1063,0
Wed Nov 25 2020 04:58:00 GMT+1100 (AEDT),0,1058.8333333333333,1058.8333333333333,0
Wed Nov 25 2020 04:59:00 GMT+1100 (AEDT),0,1028.8333333333333,1028.8333333333333,0
Wed Nov 25 2020 05:00:00 GMT+1100 (AEDT),0,1033,1033,0
